id;word;definition;sourse_id
1;Why;Почему;1
2;What;Что;1
3;Who;Кто;1
4;Where;Где;1
5;When;Когда;1
6;Which;Который;1
7;How;Как;1
8;Hello;Здравствуйте;1
9;Goodbye;До свидания;1
10;Please;Пожалуйста;1
11;Thank you;Спасибо;1
12;Sorry;Извините;1
13;Yes;Да;1
14;No;Нет;1
15;Good;Хорошо;1
16;Bad;Плохо;1
17;Big;Большой;1
18;Small;Маленький;1
19;Fast;Быстрый;1
20;Slow;Медленный;1
21;Happy;Счастливый;1
22;Sad;Грустный;1
23;Beautiful;Красивый;1
24;Ugly;Некрасивый;1
25;New;Новый;1
26;Old;Старый;1
27;Hot;Горячий;1
28;Cold;Холодный;1
29;Warm;Тёплый;1
30;Cool;Прохладный;1
31;Easy;Лёгкий;1
32;Hard;Трудный;1
33;Cheap;Дешёвый;1
34;Expensive;Дорогой;1
35;Rich;Богатый;1
36;Poor;Бедный;1
37;Strong;Сильный;1
38;Weak;Слабый;1
39;Young;Молодой;1
40;Old;Пожилой;1
41;Open;Открытый;1
42;Closed;Закрытый;1
43;Empty;Пустой;1
44;Full;Полный;1
45;Clean;Чистый;1
46;Dirty;Грязный;1
47;Dry;Сухой;1
48;Wet;Мокрый;1
49;Light;Светлый;1
50;Dark;Тёмный;1
51;Soft;Мягкий;1
52;Hard;Твёрдый;1
53;Sweet;Сладкий;1
54;Sour;Кислый;1
55;Salty;Солёный;1
56;Bitter;Горький;1
57;Spicy;Острый;1
58;Fresh;Свежий;1
59;Stale;Черствый;1
60;Tasty;Вкусный;1